run	randomSeed	numHumans	numZombies	numHunters	gestationPeriod
521	-1536818909	100	10	10	10
523	-1536817472	100	15	1	5
525	-1536816956	100	15	1	50
527	-1536816910	100	15	5	10
529	-1536816659	100	15	10	5
531	-1536816597	100	15	10	50
533	-1536814785	100	20	1	10
535	-1536813519	100	20	5	5
537	-1536811722	100	20	5	50
539	-1536810659	100	20	10	10
541	-1536810253	10	1	1	5
543	-1536809519	10	1	1	50
545	-1536809425	10	1	5	10
547	-1536808863	10	1	10	5
549	-1536808644	10	1	10	50
551	-1536806784	10	5	1	10
553	-1536806706	10	5	5	5
555	-1536804363	10	5	5	50
557	-1536798347	10	5	10	10
559	-1536793472	10	10	1	5
561	-1536793409	10	10	1	50
563	-1536792941	10	10	5	10
565	-1536792862	10	10	10	5
567	-1536791081	10	10	10	50
569	-1536791003	10	15	1	10
571	-1536790925	10	15	5	5
573	-1536790175	10	15	5	50
575	-1536790081	10	15	10	10
577	-1536788972	10	20	1	5
579	-1536788472	10	20	1	50
581	-1536788409	10	20	5	10
583	-1536772065	10	20	10	5
585	-1536769987	10	20	10	50
587	-1536767175	50	1	1	10
589	-1536764409	50	1	5	5
591	-1536761643	50	1	5	50
593	-1536761565	50	1	10	10
595	-1536761487	50	5	1	5
597	-1536761440	50	5	1	50
599	-1536759206	50	5	5	10
601	-1536758347	50	5	10	5
603	-1536755972	50	5	10	50
605	-1536755534	50	10	1	10
607	-1536753722	50	10	5	5
609	-1536752847	50	10	5	50
611	-1536749690	50	10	10	10
613	-1536749581	50	15	1	5
615	-1536749487	50	15	1	50
617	-1536747831	50	15	5	10
619	-1536743378	50	15	10	5
621	-1536742971	50	15	10	50
623	-1536742425	50	20	1	10
625	-1536739893	50	20	5	5
627	-1536737112	50	20	5	50
629	-1536733049	50	20	10	10
631	-1536732846	100	1	1	5
633	-1536730424	100	1	1	50
635	-1536727221	100	1	5	10
637	-1536720284	100	1	10	5
639	-1536718706	100	1	10	50
641	-1536718628	100	5	1	10
643	-1536718534	100	5	5	5
645	-1536718471	100	5	5	50
647	-1536713987	100	5	10	10
649	-1536713877	100	10	1	5
651	-1536695174	100	10	1	50
653	-1536694737	100	10	5	10
655	-1536693987	100	10	10	5
657	-1536692268	100	10	10	50
659	-1536688033	100	15	1	10
661	-1536685737	100	15	5	5
663	-1536685612	100	15	5	50
665	-1536683471	100	15	10	10
667	-1536681237	100	20	1	5
669	-1536677752	100	20	1	50
671	-1536675158	100	20	5	10
673	-1536674033	100	20	10	5
675	-1536673893	100	20	10	50
677	-1536668846	10	1	1	10
679	-1536662893	10	1	5	5
681	-1536662283	10	1	5	50
683	-1536662033	10	1	10	10
685	-1536658549	10	5	1	5
687	-1536658158	10	5	1	50
689	-1536657768	10	5	5	10
691	-1536642955	10	5	10	5
693	-1536642861	10	5	10	50
695	-1536639721	10	10	1	10
697	-1536639549	10	10	5	5
699	-1536634252	10	10	5	50
701	-1536633861	10	10	10	10
703	-1536633002	10	15	1	5
705	-1536632440	10	15	1	50
707	-1536632205	10	15	5	10
709	-1536631799	10	15	10	5
711	-1536631689	10	15	10	50
713	-1536631111	10	20	1	10
715	-1536626033	10	20	5	5
717	-1536625908	10	20	5	50
719	-1536625486	10	20	10	10
721	-1536622564	50	1	1	5
723	-1536618986	50	1	1	50
725	-1536618893	50	1	5	10
727	-1536618814	50	1	10	5
729	-1536607518	50	1	10	50
731	-1536607424	50	5	1	10
733	-1536604205	50	5	5	5
735	-1536601283	50	5	5	50
737	-1536601174	50	5	10	10
739	-1536595189	50	10	1	5
741	-1536594830	50	10	1	50
743	-1536593908	50	10	5	10
745	-1536585174	50	10	10	5
747	-1536585080	50	10	10	50
749	-1536582986	50	15	1	10
751	-1536582908	50	15	5	5
753	-1536581049	50	15	5	50
755	-1536580986	50	15	10	10
757	-1536580096	50	20	1	5
759	-1536577502	50	20	1	50
761	-1536577314	50	20	5	10
763	-1536570330	50	20	10	5
765	-1536568564	50	20	10	50
767	-1536565845	100	1	1	10
769	-1536551830	100	1	5	5
771	-1536551642	100	1	5	50
773	-1536546220	100	1	10	10
775	-1536541549	100	5	1	5
777	-1536540705	100	5	1	50
779	-1536540627	100	5	5	10
781	-1536536595	100	5	10	5
783	-1536525330	100	5	10	50
785	-1536525189	100	10	1	10
787	-1536523455	100	10	5	5
789	-1536523377	100	10	5	50
791	-1536523298	100	10	10	10
793	-1536521752	100	15	1	5
795	-1536521470	100	15	1	50
797	-1536520424	100	15	5	10
799	-1536520314	100	15	10	5
801	-1536515877	100	15	10	50
803	-1536515642	100	20	1	10
805	-1536515517	100	20	5	5
807	-1536515439	100	20	5	50
809	-1536514455	100	20	10	10
811	-1536512564	10	1	1	5
813	-1536512502	10	1	1	50
815	-1536510486	10	1	5	10
817	-1536510298	10	1	10	5
819	-1536508267	10	1	10	50
821	-1536508002	10	5	1	10
823	-1536506111	10	5	5	5
825	-1536502814	10	5	5	50
827	-1536502736	10	5	10	10
829	-1536500658	10	10	1	5
831	-1536500564	10	10	1	50
833	-1536500267	10	10	5	10
835	-1536498595	10	10	10	5
837	-1536498533	10	10	10	50
839	-1536498455	10	15	1	10
841	-1536498392	10	15	5	5
843	-1536498314	10	15	5	50
845	-1536495767	10	15	10	10
847	-1536494173	10	20	1	5
849	-1536485689	10	20	1	50
851	-1536485220	10	20	5	10
853	-1536480001	10	20	10	5
855	-1536477455	10	20	10	50
857	-1536475486	50	1	1	10
859	-1536473048	50	1	5	5
861	-1536471564	50	1	5	50
863	-1536469673	50	1	10	10
865	-1536469626	50	5	1	5
867	-1536449970	50	5	1	50
869	-1536449767	50	5	5	10
871	-1536447954	50	5	10	5
873	-1536443892	50	5	10	50
875	-1536439579	50	10	1	10
877	-1536423970	50	10	5	5
879	-1536417970	50	10	5	50
881	-1536417689	50	10	10	10
883	-1536417595	50	15	1	5
885	-1536417361	50	15	1	50
887	-1536417267	50	15	5	10
889	-1536416782	50	15	10	5
891	-1536414282	50	15	10	50
893	-1536414142	50	20	1	10
895	-1536414079	50	20	5	5
897	-1536409032	50	20	5	50
899	-1536404579	50	20	10	10
901	-1536404439	100	1	1	5
903	-1536403236	100	1	1	50
905	-1536403142	100	1	5	10
907	-1536401392	100	1	10	5
909	-1536400517	100	1	10	50
911	-1536399407	100	5	1	10
913	-1536397517	100	5	5	5
