"run","tick","HumanitySaved"
797,228.0,"true"
799,2559.0,"false"
801,384.0,"true"
803,246.0,"true"
805,162.0,"true"
807,1307.0,"false"
809,1642.0,"false"
811,122.0,"true"
813,1728.0,"false"
815,369.0,"true"
817,1527.0,"true"
819,404.0,"true"
821,1605.0,"false"
823,2027.0,"false"
825,137.0,"true"
827,1849.0,"false"
829,193.0,"true"
831,499.0,"true"
833,1639.0,"false"
835,119.0,"true"
837,138.0,"true"
839,114.0,"true"
841,166.0,"true"
843,1242.0,"true"
845,1292.0,"true"
847,2103.0,"true"
849,698.0,"true"
851,2571.0,"false"
853,1336.0,"true"
855,2210.0,"false"
857,1544.0,"true"
859,997.0,"true"
861,1186.0,"true"
863,93.0,"true"
865,2609.0,"true"
867,345.0,"true"
869,1183.0,"true"
871,3363.0,"false"
873,2535.0,"false"
875,2691.0,"false"
877,1694.0,"true"
879,500.0,"true"
881,183.0,"true"
883,395.0,"true"
885,183.0,"true"
887,704.0,"true"
889,1694.0,"false"
891,237.0,"true"
893,112.0,"true"
895,1663.0,"true"
897,2373.0,"false"
899,258.0,"true"
901,1104.0,"true"
903,163.0,"true"
905,1801.0,"false"
907,1087.0,"true"
909,1386.0,"true"
911,1410.0,"true"
913,1593.0,"true"
915,55.0,"true"
917,1690.0,"true"
919,985.0,"true"
921,1904.0,"false"
923,2783.0,"false"
925,246.0,"true"
927,2429.0,"true"
929,203.0,"true"
931,575.0,"true"
933,95.0,"true"
935,1689.0,"true"
937,1581.0,"true"
939,148.0,"true"
941,438.0,"true"
943,2082.0,"false"
945,1033.0,"true"
947,165.0,"true"
949,2067.0,"false"
951,224.0,"true"
953,162.0,"true"
955,3795.0,"false"
957,33.0,"true"
959,204.0,"true"
961,1486.0,"false"
963,517.0,"true"
965,1748.0,"false"
967,901.0,"true"
969,1879.0,"true"
971,877.0,"true"
973,1374.0,"true"
975,195.0,"true"
977,2032.0,"false"
979,247.0,"true"
981,1907.0,"false"
983,2004.0,"false"
985,847.0,"true"
987,1443.0,"true"
989,359.0,"true"
991,1082.0,"true"
993,917.0,"true"
995,191.0,"true"
997,147.0,"true"
999,138.0,"true"
1001,176.0,"true"
1003,3378.0,"false"
1005,1982.0,"false"
1007,119.0,"true"
1009,1454.0,"true"
1011,781.0,"true"
1013,194.0,"true"
1015,3403.0,"false"
1017,184.0,"true"
1019,2596.0,"false"
1021,1646.0,"true"
1023,268.0,"true"
1025,933.0,"true"
1027,140.0,"true"
1029,732.0,"true"
1031,2546.0,"false"
1033,201.0,"true"
1035,235.0,"true"
1037,1802.0,"false"
1039,3258.0,"false"
1041,174.0,"true"
1043,414.0,"true"
1045,243.0,"true"
1047,1897.0,"true"
1049,326.0,"true"
1051,325.0,"true"
1053,358.0,"true"
1055,1585.0,"true"
1057,2379.0,"false"
1059,224.0,"true"
1061,1195.0,"true"
1063,2087.0,"false"
1065,1728.0,"true"
1067,301.0,"true"
1069,161.0,"true"
1071,119.0,"true"
1073,1823.0,"false"
1075,194.0,"true"
1077,1217.0,"true"
1079,119.0,"true"
1081,3037.0,"true"
1083,2161.0,"false"
1085,2472.0,"false"
1087,1262.0,"true"
1089,217.0,"true"
1091,4298.0,"false"
1093,217.0,"true"
1095,200.0,"true"
1097,1280.0,"true"
1099,668.0,"true"
1101,3417.0,"false"
1103,1248.0,"false"
1105,448.0,"true"
1107,369.0,"true"
1109,228.0,"true"
1111,170.0,"true"
1113,2145.0,"false"
1115,1772.0,"false"
1117,114.0,"true"
1119,1622.0,"false"
1121,98.0,"true"
1123,1701.0,"true"
1125,1787.0,"false"
1127,1483.0,"false"
1129,314.0,"true"
1131,1983.0,"true"
1133,169.0,"true"
1135,421.0,"true"
1137,1987.0,"false"
1139,149.0,"true"
1141,371.0,"true"
1143,279.0,"true"
1145,210.0,"true"
1147,1619.0,"true"
1149,590.0,"true"
1151,2556.0,"false"
1153,875.0,"true"
1155,2391.0,"false"
1157,2863.0,"false"
1159,201.0,"true"
1161,333.0,"true"
1163,1087.0,"true"
1165,795.0,"true"
1167,296.0,"true"
1169,116.0,"true"
1171,1535.0,"true"
1173,6667.0,"false"
1175,3759.0,"false"
1177,2776.0,"false"
1179,1527.0,"true"
1181,2716.0,"false"
1183,1617.0,"false"
1185,2253.0,"false"
1187,1298.0,"true"
1189,186.0,"true"
1191,3137.0,"false"
1193,107.0,"true"
1195,3298.0,"false"
1197,1862.0,"false"
1199,961.0,"true"
1201,1462.0,"true"
1203,1702.0,"false"
1205,433.0,"true"
1207,3470.0,"false"
1209,2538.0,"false"
1211,1081.0,"true"
1213,787.0,"true"
1215,137.0,"true"
1217,625.0,"true"
1219,2011.0,"false"
1221,188.0,"true"
1223,2129.0,"false"
1225,1558.0,"true"
1227,766.0,"true"
1229,1263.0,"true"
1231,2983.0,"false"
1233,131.0,"true"
1235,2004.0,"false"
1237,2022.0,"false"
1239,2092.0,"true"
1241,215.0,"true"
1243,1574.0,"true"
1245,2337.0,"false"
1247,1973.0,"false"
1249,1413.0,"true"
1251,1827.0,"true"
1253,270.0,"true"
1255,1561.0,"true"
1257,366.0,"true"
1259,2491.0,"false"
1261,3131.0,"false"
1263,1635.0,"true"
1265,1192.0,"true"
1267,1507.0,"true"
1269,211.0,"true"
1271,118.0,"true"
1273,1267.0,"true"
1275,138.0,"true"
1277,2067.0,"true"
1279,1226.0,"true"
1281,452.0,"true"
1283,180.0,"true"
1285,205.0,"true"
1287,1111.0,"true"
1289,2073.0,"false"
1291,473.0,"true"
1293,228.0,"true"
1295,1364.0,"true"
1297,241.0,"true"
1299,238.0,"true"
1301,183.0,"true"
1303,2628.0,"false"
1305,1596.0,"true"
1307,516.0,"true"
1309,1995.0,"true"
1311,2490.0,"true"
1313,1477.0,"true"
1315,145.0,"true"
1317,1224.0,"true"
1319,1829.0,"false"
1321,2271.0,"false"
1323,2012.0,"false"
1325,3137.0,"false"
1327,1415.0,"true"
1329,1351.0,"true"
1331,437.0,"true"
1333,1660.0,"false"
1335,1323.0,"true"
1337,55.0,"true"
1339,214.0,"true"
1341,1154.0,"true"
1343,188.0,"true"
1345,1905.0,"true"
1347,2025.0,"false"
1349,2208.0,"false"
1351,906.0,"true"
1353,1498.0,"false"
1355,757.0,"true"
1357,232.0,"true"
1359,2409.0,"false"
1361,2115.0,"false"
1363,2213.0,"false"
1365,1878.0,"true"
1367,2332.0,"false"
1369,1114.0,"true"
1371,1064.0,"true"
1373,411.0,"true"
1375,651.0,"true"
1377,209.0,"true"
1379,750.0,"true"
1381,166.0,"true"
1383,2088.0,"true"
1385,977.0,"true"
1387,102.0,"true"
1389,243.0,"true"
1391,1069.0,"true"
1393,88.0,"true"
1395,1872.0,"false"
1397,1662.0,"false"
1399,587.0,"true"
1401,81.0,"true"
1403,2684.0,"false"
1405,1847.0,"false"
1407,387.0,"true"
1409,111.0,"true"
1411,341.0,"true"
1413,410.0,"true"
1415,2900.0,"false"
1417,613.0,"true"
1419,1948.0,"false"
1421,161.0,"true"
1423,179.0,"true"
1425,135.0,"true"
1427,121.0,"true"
1429,1205.0,"true"
1431,801.0,"true"
1433,152.0,"true"
1435,1940.0,"true"
1437,2283.0,"false"
1439,107.0,"true"
1441,181.0,"true"
1443,88.0,"true"
1445,2674.0,"false"
1447,3235.0,"false"
1449,1586.0,"false"
1451,1195.0,"true"
1453,237.0,"true"
1455,294.0,"true"
1457,245.0,"true"
1459,337.0,"true"
1461,1661.0,"true"
1463,1772.0,"false"
1465,136.0,"true"
1467,1728.0,"false"
1469,447.0,"true"
1471,317.0,"true"
1473,1524.0,"true"
1475,204.0,"true"
1477,1718.0,"false"
1479,1885.0,"true"
1481,3351.0,"false"
1483,880.0,"true"
1485,2531.0,"true"
1487,1551.0,"false"
1489,136.0,"true"
1491,208.0,"true"
1493,1142.0,"true"
1495,1052.0,"true"
1497,1613.0,"false"
1499,1762.0,"true"
1501,1810.0,"false"
1503,229.0,"true"
1505,1644.0,"false"
1507,1637.0,"true"
1509,1830.0,"false"
1511,443.0,"true"
1513,196.0,"true"
1515,1607.0,"false"
1517,760.0,"true"
1519,283.0,"true"
1521,239.0,"true"
1523,158.0,"true"
1525,102.0,"true"
1527,2337.0,"false"
1529,162.0,"true"
1531,2367.0,"true"
1533,638.0,"true"
1535,141.0,"true"
1537,300.0,"true"
1539,4840.0,"false"
1541,2030.0,"false"
1543,1206.0,"true"
1545,95.0,"true"
1547,165.0,"true"
1549,1102.0,"true"
1551,124.0,"true"
1553,2204.0,"true"
1555,215.0,"true"
1557,59.0,"true"
1559,2295.0,"false"
1561,777.0,"true"
1563,1604.0,"true"
1565,805.0,"true"
1567,140.0,"true"
1569,203.0,"true"
1571,443.0,"true"
1573,2424.0,"false"
1575,1062.0,"true"
1577,788.0,"true"
1579,2778.0,"true"
1581,189.0,"true"
1583,2307.0,"false"
1585,111.0,"true"
1587,2512.0,"false"
1589,1046.0,"true"
1591,1662.0,"true"
1593,424.0,"true"
1595,1132.0,"true"
1597,718.0,"true"
1599,1553.0,"true"
1601,2414.0,"false"
1603,1512.0,"true"
1605,2655.0,"false"
1607,152.0,"true"
1609,512.0,"true"
1611,2289.0,"false"
1613,1662.0,"true"
1615,2246.0,"false"
1617,1666.0,"false"
1619,2780.0,"true"
1621,601.0,"true"
1623,2552.0,"false"
1625,320.0,"true"
1627,296.0,"true"
1629,741.0,"true"
1631,159.0,"true"
1633,118.0,"true"
1635,103.0,"true"
1637,1860.0,"true"
1639,164.0,"true"
1641,64.0,"true"
1643,2421.0,"false"
1645,297.0,"true"
1647,133.0,"true"
1649,1494.0,"true"
1651,198.0,"true"
1653,177.0,"true"
1655,1556.0,"false"
1657,300.0,"true"
1659,2712.0,"false"
1661,299.0,"true"
1663,1886.0,"true"
1665,2265.0,"false"
1667,990.0,"true"
1669,164.0,"true"
1671,138.0,"true"
1673,136.0,"true"
1675,173.0,"true"
1677,1757.0,"false"
1679,88.0,"true"
1681,203.0,"true"
1683,1477.0,"true"
1685,876.0,"true"
1687,158.0,"true"
1689,249.0,"true"
1691,2018.0,"false"
1693,455.0,"true"
1695,2319.0,"false"
1697,151.0,"true"
1699,348.0,"true"
1701,637.0,"true"
1703,2027.0,"false"
1705,487.0,"true"
1707,304.0,"true"
1709,2171.0,"false"
1711,284.0,"true"
1713,93.0,"true"
1715,1779.0,"true"
1717,3041.0,"false"
1719,784.0,"true"
1721,2200.0,"false"
1723,1037.0,"true"
1725,272.0,"true"
1727,221.0,"true"
1729,1339.0,"true"
1731,1597.0,"true"
1733,178.0,"true"
1735,232.0,"true"
1737,1901.0,"false"
1739,225.0,"true"
1741,697.0,"true"
1743,634.0,"true"
1745,294.0,"true"
1747,4377.0,"false"
1749,274.0,"true"
1751,154.0,"true"
1753,2280.0,"false"
1755,1821.0,"false"
1757,4195.0,"false"
1759,186.0,"true"
1761,653.0,"true"
1763,1674.0,"true"
1765,3665.0,"false"
1767,219.0,"true"
1769,458.0,"true"
1771,1100.0,"true"
1773,1150.0,"true"
1775,1048.0,"true"
1777,178.0,"true"
1779,115.0,"true"
1781,192.0,"true"
1783,226.0,"true"
1785,261.0,"true"
1787,124.0,"true"
1789,126.0,"true"
1791,856.0,"true"
1793,1905.0,"true"
1795,77.0,"true"
1797,194.0,"true"
1799,1628.0,"false"
1801,1041.0,"true"
1803,1759.0,"true"
1805,215.0,"true"
1807,147.0,"true"
1809,2764.0,"false"
1811,2162.0,"false"
1813,229.0,"true"
1815,505.0,"true"
1817,1350.0,"true"
1819,1648.0,"false"
1821,1114.0,"true"
1823,1717.0,"false"
1825,1429.0,"true"
1827,1411.0,"true"
1829,656.0,"true"
1831,433.0,"true"
1833,1543.0,"true"
1835,180.0,"true"
